"Date","Price","Open","High","Low","Change %"
"Oct 18, 2019","33.5750","33.9350","34.0350","33.4750","0.00%"
"Oct 17, 2019","33.5750","33.5750","34.0350","33.4150","0.00%"
"Oct 16, 2019","33.5750","33.5750","34.0250","33.4750","0.00%"
"Oct 15, 2019","33.5750","33.5750","34.0250","33.4750","0.00%"
"Oct 14, 2019","33.5750","34.0050","34.0150","33.5750","0.00%"
"Oct 11, 2019","33.5750","33.5750","34.0050","33.4750","0.00%"
"Oct 10, 2019","33.5750","33.5750","34.0050","33.4750","0.00%"
"Oct 09, 2019","33.5750","33.5750","33.9950","33.4750","0.00%"
"Oct 08, 2019","33.5750","33.5750","33.9950","33.4750","0.00%"
"Oct 07, 2019","33.5750","33.9750","33.9850","33.4750","0.00%"
"Oct 04, 2019","33.5750","33.5750","33.9750","33.4750","0.00%"
"Oct 03, 2019","33.5750","33.6550","33.9750","33.5550","-0.12%"
"Oct 02, 2019","33.6150","33.6150","33.9250","33.4650","0.00%"
"Oct 01, 2019","33.6150","33.5950","33.9250","33.5850","0.00%"
"Sep 30, 2019","33.6150","33.9050","33.9150","33.4950","0.18%"
"Sep 27, 2019","33.5550","33.5550","33.9750","33.5550","0.00%"
"Sep 26, 2019","33.5550","33.5550","33.9550","33.4550","0.00%"
"Sep 25, 2019","33.5550","33.9550","33.9550","33.4550","-0.97%"
"Sep 24, 2019","33.8850","33.4850","33.8850","33.3850","0.98%"
"Sep 23, 2019","33.5550","33.9350","33.9450","33.4650","0.00%"
"Sep 20, 2019","33.5550","33.5350","33.9350","33.4450","-0.89%"
"Sep 19, 2019","33.8550","33.4650","33.8550","33.3550","0.92%"
"Sep 18, 2019","33.5450","33.5450","33.9350","33.4050","0.00%"
"Sep 17, 2019","33.5450","33.5450","33.9350","33.5450","0.00%"
"Sep 16, 2019","33.5450","33.9150","33.9250","33.4350","-0.86%"
"Sep 13, 2019","33.8350","33.4650","33.8450","33.3650","0.86%"
"Sep 12, 2019","33.5450","33.5450","33.9250","33.4450","0.00%"
"Sep 11, 2019","33.5450","33.8950","33.9050","33.4450","-0.78%"
"Sep 10, 2019","33.8100","33.4900","33.8400","33.4000","0.79%"
"Sep 09, 2019","33.5450","33.8750","33.9150","33.4450","-0.74%"
"Sep 06, 2019","33.7950","33.4650","33.7950","33.4650","0.75%"
"Sep 05, 2019","33.5450","33.5450","33.8750","33.4550","0.00%"
"Sep 04, 2019","33.5450","33.5050","33.8850","33.4050","0.06%"
"Sep 03, 2019","33.5250","33.5250","33.9250","33.4450","-0.71%"
"Sep 02, 2019","33.7650","33.7650","33.7650","33.4250","0.72%"
"Aug 30, 2019","33.5250","33.5250","33.8650","33.5250","0.00%"
"Aug 29, 2019","33.5250","33.5250","33.8650","33.4550","0.00%"
"Aug 28, 2019","33.5250","33.5250","33.8550","33.5250","0.00%"
"Aug 27, 2019","33.5250","33.5250","33.8550","33.5250","-0.68%"
"Aug 26, 2019","33.7550","33.7350","33.7550","33.4250","0.69%"
"Aug 23, 2019","33.5250","33.5250","33.8550","33.4550","0.00%"
"Aug 22, 2019","33.5250","33.5250","33.8550","33.4550","0.00%"
"Aug 21, 2019","33.5250","33.5250","33.8550","33.4550","0.00%"
"Aug 20, 2019","33.5250","33.5250","33.8250","33.4550","0.00%"
"Aug 19, 2019","33.5250","33.8050","33.8850","33.4450","-0.53%"
"Aug 16, 2019","33.7050","33.7050","33.8450","33.3350","0.00%"
"Aug 15, 2019","33.7050","33.4250","33.8250","33.3450","0.54%"
"Aug 14, 2019","33.5250","33.5250","33.9050","33.4450","0.00%"
"Aug 13, 2019","33.5250","33.5250","33.8550","33.4550","0.00%"
"Aug 12, 2019","33.5250","33.7750","33.8650","33.4650","-0.45%"
"Aug 09, 2019","33.6750","33.4250","33.7750","33.3650","0.45%"
"Aug 08, 2019","33.5250","33.5250","33.8750","33.4550","0.00%"
"Aug 07, 2019","33.5250","33.5250","33.8750","33.4450","0.00%"
"Aug 06, 2019","33.5250","33.5250","33.8750","33.4650","0.00%"
"Aug 05, 2019","33.5250","33.7450","33.8750","33.4250","-0.36%"
"Aug 02, 2019","33.6450","33.4250","33.7750","33.3250","0.36%"
"Aug 01, 2019","33.5250","33.5250","33.8750","33.4750","0.00%"
"Jul 31, 2019","33.5250","33.5250","33.7350","33.4550","0.00%"
"Jul 30, 2019","33.5250","33.4550","33.7350","33.1850","1.62%"
"Jul 29, 2019","32.9900","33.1500","33.2600","32.8900","-1.52%"
"Jul 26, 2019","33.5000","33.2800","33.5400","33.1800","1.55%"
"Jul 25, 2019","32.9900","32.9900","33.2400","32.8100","0.00%"
"Jul 24, 2019","32.9900","33.2100","33.3400","32.9900","-1.80%"
"Jul 23, 2019","33.5950","33.5950","33.5950","33.0050","0.00%"
"Jul 22, 2019","33.5950","33.0150","33.5950","33.0150","1.83%"
"Jul 19, 2019","32.9900","32.9900","33.2200","32.8900","0.00%"
"Jul 18, 2019","32.9900","32.9900","33.2100","32.9600","0.00%"
"Jul 17, 2019","32.9900","32.9900","33.2200","32.7700","0.00%"
"Jul 16, 2019","32.9900","32.9300","33.2000","32.7800","0.09%"
"Jul 15, 2019","32.9600","33.2200","33.2300","32.7200","0.00%"
"Jul 12, 2019","32.9600","33.0400","33.2200","32.8200","0.00%"
"Jul 11, 2019","32.9600","32.9600","33.2100","32.6400","0.00%"
"Jul 10, 2019","32.9600","32.9600","33.2100","32.7500","0.00%"
"Jul 09, 2019","32.9600","32.9600","33.2000","32.7500","0.00%"
"Jul 08, 2019","32.9600","33.1800","33.2900","32.6800","0.03%"
"Jul 05, 2019","32.9500","32.9500","33.1900","32.7500","0.00%"
"Jul 04, 2019","32.9500","32.9500","33.1900","32.9500","-1.69%"
"Jul 03, 2019","33.5150","33.2750","33.5150","33.1050","1.71%"
"Jul 02, 2019","32.9500","32.9500","33.1800","32.9000","0.00%"
